devolucion_id,pedido_id,sucursal_id,producto_id,motivo,monto_reembolso,fecha_devolucion
D02451,PED019900,S39,P01127,no_cumple_expectativas,3912.53,2026-02-02
D02929,PED008106,S23,P00085,garantia,6261.13,2026-04-01
D01956,PED013698,S18,P01530,producto_defectuoso,2706.51,2026-07-11
D02697,PED007040,S17,P00454,no_cumple_expectativas,7916.95,2026-08-07
D00164,PED000350,S08,P01568,envio_incorrecto,664.49,2026-06-21
D03411,PED018012,S06,P01194,no_cumple_expectativas,1309.72,2026-01-02
D02527,PED013360,S40,P02240,garantia,3807.65,2026-02-01
D03345,PED005499,S25,P02772,no_cumple_expectativas,6635.65,2026-05-23
D00724,PED007715,S09,P01383,producto_defectuoso,1602.67,2026-06-24
D03469,PED008049,S27,P02589,garantia,5729.45,2026-05-09
D00260,PED018857,S39,P01894,garantia,7485.79,2026-05-11
D01068,PED014274,S06,P01603,garantia,7051.88,2026-01-10
D03031,PED017520,S04,P01384,garantia,4303.76,2026-08-07
D01204,PED004975,S08,P00150,envio_incorrecto,6958.81,2026-05-24
D01667,,S04,P01992,cambio_de_opinion,5011.28,2026-06-08
D03055,PED019541,S09,P00997,garantia,293.01,2026-03-09
D01913,PED017940,S29,P00658,no_cumple_expectativas,4929.99,2026-04-24
D01080,PED010945,S28,P00642,garantia,613.25,2026-03-08
D00020,PED000232,S40,P02246,envio_incorrecto,803.97,2026-07-25
D03863,PED015465,S24,P00095,producto_dañado_en_transporte,4156.82,2026-04-24
D03407,PED004492,S13,P02250,garantia,2533.17,2026-01-21
D00870,PED004679,S24,P02422,producto_defectuoso,7379.7,2026-05-07
D01504,PED007433,S07,P02612,producto_dañado_en_transporte,7286.54,2026-08-14
D00041,PED010764,S02,P00953,envio_incorrecto,1242.32,2026-07-02
D01966,PED007916,S21,P02427,producto_dañado_en_transporte,4765.99,2026-05-03
D01565,PED012140,S20,P01217,producto_dañado_en_transporte,5808.76,2026-03-28
D03376,PED013376,S13,P01486,envio_incorrecto,4366.33,2026-01-21
D02510,PED018764,S35,P02289,producto_dañado_en_transporte,4463.26,2026-04-24
D02047,PED004991,S09,P93473,envio_incorrecto,3727.9,2026-03-13
D01878,PED005805,S22,P01233,cambio_de_opinion,7429.02,2026-04-03
D00339,PED008175,S31,P00760,no_cumple_expectativas,2574.2,2026-05-20
D02553,PED019281,S25,P00365,no_cumple_expectativas,6016.3,2026-04-04
D01179,PED008781,S34,P00383,,6985.78,2026-01-01
D00062,PED018078,S36,P02999,producto_defectuoso,847.17,2026-02-19
D03511,PED019718,S32,P01796,garantia,6073.86,2026-01-14
D01967,PED005314,S28,P02798,producto_defectuoso,5353.52,2026-03-10
D00419,PED002405,S02,P02696,producto_defectuoso,3801.27,2026-05-07
D02359,PED018710,S08,P00419,garantia,5152.91,2026-02-06
D02768,PED008705,S26,P00369,cambio_de_opinion,1194.12,2026-08-13
D01390,PED018000,S25,P02434,producto_defectuoso,2951.16,2026-04-19
D02154,PED017973,S20,P00548,cambio_de_opinion,5007.31,2026-06-13
D02809,PED006617,S40,P00019,cambio_de_opinion,4969.94,2026-04-23
D00886,PED008047,S10,P00387,no_cumple_expectativas,7076.43,2026-01-03
D02991,PED013758,S24,P01235,producto_dañado_en_transporte,3968.18,2026-06-17
D00323,PED013198,S13,P02111,garantia,5915.42,2026-03-17
D02233,PED010039,S36,P01037,cambio_de_opinion,548.38,2026-02-26
D03177,PED000989,S03,P00751,no_cumple_expectativas,6021.66,2026-04-26
D02139,PED013941,S01,P00570,no_cumple_expectativas,1621.77,2026-05-09
D02291,PED007012,S35,P00866,cambio_de_opinion,4599.43,2026-01-24
D00787,PED005257,S07,P02013,garantia,1441.2,2026-01-03
D01576,PED016417,S13,P02137,producto_dañado_en_transporte,2811.73,2026-01-17
D01346,PED016232,S07,P00268,envio_incorrecto,1357.37,2026-04-20
D02611,PED003566,S26,P00074,garantia,6982.8,2026-06-25
D00095,PED003126,S28,P02743,garantia,3111.1,2026-01-15
D00496,PED002154,S20,P01320,cambio_de_opinion,3820.34,2026-06-27
D02959,PED016284,S28,P01125,garantia,2860.27,2026-03-27
D00647,PED010904,S29,P01912,producto_defectuoso,3195.47,2026-05-14
D01668,PED006344,S14,P01642,producto_dañado_en_transporte,7970.92,2026-08-07
D01777,PED000483,S01,P00065,cambio_de_opinion,242.09,2026-08-19
D02933,PED017988,S05,P00529,cambio_de_opinion,2578.42,2026-01-12
D02474,PED014376,S04,P00783,producto_dañado_en_transporte,2249.95,2026-02-21
D01978,PED009113,S17,P00870,,3500.55,2026-07-20
D02706,PED017484,S20,P00458,garantia,4034.93,2026-01-19
D01386,PED000769,S36,P01438,no_cumple_expectativas,5273.03,2026-01-23
D01740,PED003472,S24,P01808,envio_incorrecto,1127.79,2026-01-20
D03830,PED007894,S20,P01719,garantia,248.64,2026-02-03
D01783,PED005886,S15,P01435,no_cumple_expectativas,5645.98,2026-07-24
D02906,PED010121,S36,P01408,garantia,4542.12,2026-03-21
D01738,PED003493,S26,P02971,producto_dañado_en_transporte,1146.03,2026-08-04
D01964,PED005304,S22,P01445,no_cumple_expectativas,3898.18,2026-03-13
D01001,PED018904,S39,P00160,cambio_de_opinion,5034.75,2026-07-14
D00016,PED012224,S07,P02065,producto_defectuoso,7452.36,2026-08-19
D03389,PED019882,S25,P00104,no_cumple_expectativas,843.91,2026-08-26
D02433,PED019545,S04,P01002,envio_incorrecto,1522.04,2026-04-20
D02196,PED014364,S13,P02466,cambio_de_opinion,4491.16,2026-07-27
D02392,PED014043,S30,P02689,garantia,6561.79,2026-01-08
D00579,PED007255,S13,P02679,envio_incorrecto,445.79,2026-07-01
D03456,PED015703,S37,P01902,producto_dañado_en_transporte,5547.29,2026-08-08
D00673,PED019137,S35,P01728,garantia,3205.0,2026-01-26
D01090,PED019977,S15,P02367,producto_dañado_en_transporte,5669.79,2026-06-26
D02864,PED009774,S02,P02282,garantia,672.13,2026-04-06
D00186,PED016153,S11,P01972,cambio_de_opinion,3829.34,2026-08-28
D00799,PED016630,S23,P02276,cambio_de_opinion,1567.61,2026-02-04
D02248,PED000835,S18,P00003,no_cumple_expectativas,1214.51,2026-01-28
D03459,PED019895,S30,P00362,producto_dañado_en_transporte,6064.12,2026-03-07
D01511,PED014273,S35,P02743,producto_defectuoso,5803.11,2026-07-22
D03616,PED018766,S15,P01070,producto_defectuoso,7468.83,2026-05-10
D01273,PED016253,S27,P00454,,3010.15,2026-03-19
D00638,PED004893,S20,P02750,envio_incorrecto,3843.03,2026-04-03
D02424,PED017755,S37,P01940,no_cumple_expectativas,1955.09,2026-01-07
D01813,PED008544,S02,P02084,producto_defectuoso,7963.21,2026-04-14
D02064,PED012039,S09,P01360,envio_incorrecto,6047.1,2026-01-26
D02596,PED009593,S08,P00061,producto_dañado_en_transporte,3292.11,2026-02-10
D03683,PED005998,S38,P02234,producto_dañado_en_transporte,471.43,2026-01-26
D01013,PED001423,S06,P00332,cambio_de_opinion,6887.84,2026-08-28
D03339,PED014310,S13,P02477,no_cumple_expectativas,3972.67,2026-07-08
D03404,PED013009,S35,P02234,producto_dañado_en_transporte,5575.7,2026-03-08
D01075,PED011509,S01,P00413,cambio_de_opinion,5534.68,2026-04-16
D03213,PED013726,S10,P00633,cambio_de_opinion,3043.66,2026-05-04
D00308,PED013556,S34,P00587,producto_dañado_en_transporte,6594.75,2026-07-04
D03046,PED004173,S37,P01451,producto_defectuoso,621.8,2026-01-25
D03839,PED016481,S36,P02259,envio_incorrecto,2715.7,2026-07-24
D02942,PED015698,S11,P02655,producto_dañado_en_transporte,2424.39,2026-06-10
D00149,PED015508,S19,P01972,producto_dañado_en_transporte,194.35,2026-06-11
D01920,PED011167,S20,P01086,garantia,6843.52,2026-03-22
D01983,PED008114,S30,P02355,producto_defectuoso,1059.79,2026-01-08
D02246,PED012262,S34,P02320,garantia,6441.2,2026-07-20
D02682,PED017677,S24,P02834,producto_defectuoso,7088.87,2026-01-02
D02296,PED016180,S24,P01831,producto_defectuoso,4583.63,2026-08-24
D01302,PED000807,S28,P02272,producto_defectuoso,4654.31,2026-04-28
D00777,PED003871,S08,P01073,no_cumple_expectativas,5728.68,2026-02-01
D00283,PED004408,S11,P01643,no_cumple_expectativas,6136.09,2026-02-28
D00184,PED007667,S35,P01826,no_cumple_expectativas,3004.92,2026-06-05
D02025,PED013359,S27,P01121,no_cumple_expectativas,1710.15,2026-01-13
D01441,PED011022,S15,P00501,cambio_de_opinion,4668.19,2026-01-15
D00704,PED014157,S02,P00552,envio_incorrecto,4871.97,2026-07-03
D02859,PED001711,S15,P00037,garantia,4911.67,2026-05-02
D03396,PED007722,S28,P00769,cambio_de_opinion,5605.81,2026-04-02
D02156,PED011628,S18,P02231,cambio_de_opinion,874.15,2026-05-10
D03214,PED017122,S19,P01725,producto_dañado_en_transporte,756.31,2026-08-18
D01567,PED002479,S04,P00235,producto_defectuoso,5000.82,2026-08-11
D03784,PED000463,S28,P00189,no_cumple_expectativas,6461.73,2026-03-17
D02495,PED019289,S31,P01771,garantia,2140.86,2026-05-25
D01856,PED008028,S18,P02079,cambio_de_opinion,7987.71,2026-07-06
D01545,PED018211,S33,P00359,,6480.71,2026-06-13
D03054,PED018684,S40,P00755,producto_dañado_en_transporte,2154.45,2026-01-20
D02091,PED003837,S23,P01578,garantia,5562.19,2026-01-25
D03824,PED008980,S37,P02757,no_cumple_expectativas,526.84,2026-05-26
D02695,PED013495,S33,P00342,cambio_de_opinion,321.39,2026-01-02
D00873,PED012373,S01,P01013,producto_dañado_en_transporte,2581.1,2026-05-18
D03331,PED004195,S11,P00156,envio_incorrecto,4054.3,2026-07-17
D01069,PED010498,S12,P01028,cambio_de_opinion,660.23,2026-07-24
D02796,PED009263,S25,P01215,producto_defectuoso,809.82,2026-06-05
D00574,PED015137,S10,P00850,no_cumple_expectativas,6245.27,2026-01-25
D03400,PED006718,S19,P00787,envio_incorrecto,3603.0,2026-03-03
D02995,PED019286,S18,P01763,garantia,7769.23,2026-01-15
D02848,PED000342,S10,P01531,envio_incorrecto,1255.59,2026-06-10
D03692,PED016093,S27,P01199,garantia,6829.76,2026-07-19
D01906,PED016507,S21,P00063,garantia,4148.1,2026-07-16
D03529,PED007968,S11,P01830,producto_dañado_en_transporte,6109.73,2026-08-01
D00492,PED018041,S06,P00635,envio_incorrecto,6347.1,2026-02-16
D00979,PED011174,S14,P00429,cambio_de_opinion,3682.08,2026-08-08
D00717,PED007679,S38,P02652,garantia,-1859.99,2026-01-05
D02543,PED012289,S16,P00761,envio_incorrecto,251.97,2026-05-23
D03202,PED009415,S39,P02908,producto_defectuoso,5439.32,2026-03-03
D02002,PED004666,S19,P01847,producto_defectuoso,5650.53,2026-05-05
D03310,PED005208,S04,P02750,garantia,7536.56,2026-06-05
D01789,PED018648,S13,P01970,cambio_de_opinion,2648.15,2026-07-10
D00542,PED006337,S34,P00643,garantia,7814.08,2026-08-04
D01016,PED005967,S11,P01055,producto_defectuoso,2901.67,2026-02-04
D03178,PED018273,S27,P02808,cambio_de_opinion,6842.87,2026-01-18
D00331,PED002204,S13,P02012,no_cumple_expectativas,3124.27,2026-03-23
D03395,PED002317,S16,P00875,producto_dañado_en_transporte,5420.92,2026-03-18
D01525,PED015135,S29,P01391,garantia,4823.0,2026-03-02
D00602,PED003603,S40,P01991,,7658.69,2026-08-03
D00733,PED015140,S39,P02341,producto_defectuoso,5281.75,2026-02-09
D00430,PED008166,S01,P01615,cambio_de_opinion,6703.38,2026-07-23
D02612,PED000771,S08,P02634,cambio_de_opinion,2555.88,2026-02-01
D02948,PED014303,S09,P01195,cambio_de_opinion,688.57,2026-01-10
D01064,PED018386,S14,P00889,garantia,2712.99,2026-07-16
D03834,PED014393,S24,P02969,cambio_de_opinion,3667.22,2026-03-15
D03816,PED006589,S34,P00131,producto_dañado_en_transporte,7189.9,2026-04-02
D02515,PED015518,S35,P00057,envio_incorrecto,4372.67,2026-08-08
D01854,PED017886,S08,P00068,garantia,5817.31,2026-02-08
D01753,PED006020,S36,P02055,envio_incorrecto,5006.08,2026-01-16
D03402,PED005856,S25,P01499,garantia,-6150.9,2026-04-09
D01735,PED015364,S21,P00973,cambio_de_opinion,5615.04,2026-04-28
D02127,PED019990,S11,P00356,cambio_de_opinion,6174.66,2026-04-18
D00335,PED009462,S32,P00723,garantia,5627.8,2026-04-22
D02550,PED007322,S24,P02740,cambio_de_opinion,4362.14,2026-07-24
D02530,PED017580,S24,P01775,producto_dañado_en_transporte,1605.4,2026-04-23
D03517,PED015989,S21,P02657,cambio_de_opinion,355.22,2026-06-08
D00792,PED009024,S28,P01644,cambio_de_opinion,895.62,2026-06-09
D00146,PED012930,S13,P02731,garantia,7276.54,2026-04-15
D00558,PED011745,S12,P02344,envio_incorrecto,7891.68,2026-03-07
D03149,PED000203,S04,P00927,garantia,6545.48,2026-02-26
D00958,PED000855,S34,P01927,producto_dañado_en_transporte,-423.97,2026-08-17
D01424,PED001853,S07,P01901,producto_defectuoso,5697.8,2026-04-18
D03665,PED008533,S37,P00064,envio_incorrecto,3115.31,2026-01-04
D01106,PED012308,S30,P01165,producto_dañado_en_transporte,1535.57,2026-07-14
D00096,PED009959,S07,P02807,no_cumple_expectativas,4622.04,2026-03-03
D02549,PED017256,S36,P00598,cambio_de_opinion,1885.6,2026-05-21
D03982,PED009963,S10,P00780,garantia,1041.32,2026-03-05
D02758,PED010889,S36,P01792,producto_defectuoso,6747.53,2026-01-04
D03945,PED003115,S40,P00040,cambio_de_opinion,1825.06,2026-05-22
D00930,PED017796,S40,P00721,producto_defectuoso,6998.91,2026-04-03
D03731,PED014395,S22,P00860,cambio_de_opinion,3551.11,2026-03-15
D00030,PED012617,S28,P01195,producto_dañado_en_transporte,1783.44,2026-08-18
D01586,PED018151,S34,P02393,no_cumple_expectativas,1114.95,2026-01-26
D03605,PED010332,S37,P00955,envio_incorrecto,5550.25,2026-08-18
D02320,PED004675,S34,P02122,cambio_de_opinion,7238.03,2026-03-27
D01245,,S33,P02229,garantia,1739.04,2026-02-26
D01053,PED005783,S02,P02310,producto_dañado_en_transporte,5501.93,2026-03-21
D00478,PED004746,S10,P01123,producto_defectuoso,6607.5,2026-04-15
D02711,PED004763,S27,P01543,envio_incorrecto,6999.05,2026-06-07
D02522,PED016587,S07,P01298,cambio_de_opinion,7791.61,2026-08-26
D00244,PED017950,S21,P00663,no_cumple_expectativas,6943.34,2026-02-22
D03482,PED018739,S33,P02123,producto_dañado_en_transporte,1609.69,2026-06-24
D00937,PED013021,S14,P00679,envio_incorrecto,6606.91,2026-06-23
D00947,PED016929,S02,P01551,garantia,4618.08,2026-01-01
D03713,PED007266,S05,P01831,no_cumple_expectativas,5440.73,2026-08-05
D01469,PED017320,S10,P01276,producto_dañado_en_transporte,3141.58,2026-08-02
D02529,PED016771,S21,P01201,no_cumple_expectativas,4817.68,2026-01-27
D00732,PED010874,S07,P02475,no_cumple_expectativas,1582.98,2026-03-19
D00098,PED009839,S30,P00989,producto_defectuoso,619.34,2026-02-24
D02605,PED008255,S14,P02593,cambio_de_opinion,2141.31,2026-04-02
D01234,PED000396,S28,P02305,no_cumple_expectativas,6261.09,2026-03-20
D03322,PED002270,S13,P02222,envio_incorrecto,3176.58,2026-03-22
D03352,PED013297,S31,P02214,producto_defectuoso,1564.37,2026-04-07
D03847,PED008277,S15,P02520,cambio_de_opinion,6173.85,2026-01-20
D00028,PED013639,S13,P02239,cambio_de_opinion,5120.11,2026-02-08
D00796,PED018005,S35,P00821,garantia,5865.16,2026-06-23
D02365,PED009248,S28,P00166,cambio_de_opinion,5658.88,2026-02-25
D00175,PED011878,S18,P01833,producto_defectuoso,6665.0,2026-03-26
D01828,PED005840,S25,P01662,producto_dañado_en_transporte,3307.37,2026-04-07
D00484,PED018635,S24,P00329,producto_dañado_en_transporte,6311.2,2026-02-10
D03798,PED009665,S17,P02244,cambio_de_opinion,4813.22,2026-03-07
D01071,PED010524,S34,P02886,envio_incorrecto,7578.76,2026-04-16
