venta_id,sucursal_id,producto_id,cantidad,monto_total,metodo_pago,fecha_venta,canal
V012083,S08,P00863,4,19852.22,transferencia,2026-06-07,tienda_fisica
V013153,S29,P00861,2,11226.3,Efectivo,2026-04-28,tienda_fisica
V012893,S16,P02271,4,,TC,2026-05-03,ecommerce
V005386,S17,P01317,4,22300.43,EFECTIVO,2026-07-19,tienda_fisica
V004845,S17,P02591,2,10100.43,Plin,2026-08-23,tienda_fisica
V003122,S03,P02930,1,1778.78,Tarjeta de credito,2026-08-24,tienda_fisica
V002602,S20,P01746,2,2141.28,transferencia,2026-06-23,tienda_fisica
V010330,S24,P01381,1,4857.68,Yape,2026-03-15,tienda_fisica
V002957,S15,P00983,3,9004.36,Transferencia bancaria,2026-05-18,tienda_fisica
V008890,S17,P01812,4,27823.44,tarjeta,2026-04-04,tienda_fisica
V014297,S31,P01925,4,30257.72,Plin,2026-08-25,tienda_fisica
V006685,S12,P01342,4,4286.81,efectivo,2026-01-26,tienda_fisica
V013003,S16,P02802,2,0,tarjeta,2026-05-01,tienda_fisica
V000703,S09,P01338,1,6578.0,transferencia,2026-07-14,tienda_fisica
V011672,S38,P00758,3,6921.46,TARJETA,2026-02-20,ecommerce
V005939,S18,P02933,1,6881.88,EFECTIVO,2026-04-19,tienda_fisica
V008417,S35,P00582,4,29818.26,Plin,2026-06-13,tienda_fisica
V009756,S13,P00955,1,3258.2,Yape,2026-07-20,tienda_fisica
V004694,S02,P02301,2,12474.27,PLIN,2026-08-11,tienda_fisica
V008762,S30,P00366,4,5353.06,TARJETA,2026-02-19,tienda_fisica
V008906,S38,P00861,1,4977.15,Efectivo,2026-05-20,ecommerce
V003399,S05,P01460,3,7751.01,TARJETA,2026-06-09,ecommerce
V001421,S13,P01429,3,20267.17,TC,02/02/2026,tienda_fisica
V014078,S40,P01611,3,1867.45,Yape,2026-02-14,ecommerce
V010151,S11,P01270,1,6554.02,tarjeta_credito,2026-06-26,tienda_fisica
V004219,S39,P02300,2,13549.85,PLIN,2026-06-07,tienda_fisica
V009885,S26,P01302,1,1003.61,Transferencia bancaria,2026-08-02,tienda_fisica
V010072,S25,P02957,2,6536.73,EFECTIVO,2026-03-08,tienda_fisica
V011149,S28,P01768,2,-5277.78,YAPE,2026-03-11,tienda_fisica
V004674,S29,P01358,2,6368.63,efectivo,2026-02-15,tienda_fisica
V005007,S18,P01870,1,3141.98,plin,2026-08-12,tienda_fisica
V006061,S25,P01215,4,26908.62,TARJETA,2026-07-23,ecommerce
V004639,S39,P02338,2,14488.49,yape,2026-06-25,ecommerce
V001450,S26,P01953,1,5093.4,efectivo,2026-01-03,tienda_fisica
V009650,S28,P02427,1,1220.32,YAPE,2026-07-05,ecommerce
V006959,S05,P02017,2,9926.23,tarjeta_credito,28/02/2026,tienda_fisica
V012683,S29,P00817,2,13273.22,plin,2026-06-19,ecommerce
V013210,S22,P02883,2,8639.94,TC,2026-07-06,tienda_fisica
V004356,S28,P01377,2,12524.24,EFV,2026-04-21,ecommerce
V011487,S03,P00285,3,12332.52,transferencia,2026-08-27,tienda_fisica
V004023,S20,P01124,1,-2853.41,plin,2026-07-07,tienda_fisica
V003538,S35,P01104,3,12293.76,plin,2026-03-03,tienda_fisica
V002994,S39,P00842,3,18714.19,plin,2026-07-11,tienda_fisica
V011349,S37,P01956,2,8357.7,TARJETA,2026-06-16,tienda_fisica
V009805,S01,P01350,1,2502.82,plin,2026-05-28,tienda_fisica
V008500,S03,P00787,3,10116.7,plin,2026-01-16,tienda_fisica
V002688,S12,P01726,2,5409.7,Tarjeta de credito,2026-01-10,tienda_fisica
V005899,S30,P02598,2,15507.96,Plin,2026-01-22,tienda_fisica
V011159,S23,P00418,4,8846.39,transferencia,2026-04-23,ecommerce
V011434,S33,P00332,3,9773.65,PLIN,2026-07-28,tienda_fisica
V000362,S25,P02143,1,5830.77,Plin,2026-03-01,ecommerce
V006356,S15,P01602,3,1578.55,PLIN,2026-04-21,tienda_fisica
V006870,S36,P00650,3,12085.92,TC,2026-07-09,tienda_fisica
V004648,S28,P01868,2,15125.6,plin,2026-01-18,tienda_fisica
V013026,S06,P01603,3,1314.31,transferencia,2026-07-15,tienda_fisica
V013041,S20,P00179,2,9345.9,TARJETA,2026-01-20,tienda_fisica
V003641,S23,P01142,2,5493.5,efectivo,2026-07-17,ecommerce
V006164,S40,P00346,1,251.98,PLIN,2026-03-23,ecommerce
V004347,S29,P01941,1,520.13,EFV,2026-05-19,tienda_fisica
V011270,S25,P01532,4,23112.31,tarjeta,05/02/2026,tienda_fisica
V003093,S17,P02605,2,4976.3,Yape,2026-08-15,tienda_fisica
V008798,S17,P01373,3,,yape,2026-08-05,ecommerce
